id,duration,show_name,show_description,genres,episode_name,episode_description,explicit,category
12,31.5,Global News Podcast,"The days top stories from BBC News. Delivered twice a day on weekdays, daily at weekends","Daily News, News",Jordan accuses Prince Hamzah of plotting to destabilise kingdom,"The Jordanian deputy PM says King Abdullah's half-brother sought to mobilise tribal leaders against the government. Also: lorry boss apologises over Taiwan train crash, and tighter Covid restrictions for India's Maharashtra state.",no,News
13,57,Pod Save America,"Four former aides to President Obama Jon Favreau, Jon Lovett, Dan Pfeiffer and Tommy Vietor are joined by journalists, politicians, activists, and more for a no-b******t conversation about politics. They cut through the noise to break down the weeks news, and help people figure out what matters and how they can help. You can listen to new episodes twice a week, and starting on October 26, 2021, we will be shifting our schedule to Tuesdays and Thursdays. ","Politics, News, TV & Film",March Badness.,"The White House press corps whiffs its first presidential news conference, Republicans shape the media narrative about the border, and Georgia passes voter suppression legislation that Joe Biden called “Jim Crow in the 21st century.” Then Tommy presents Jon and Jon with the Evil Eight in Pod Save America’s first-ever March Badness tournament.",yes,News
14,80,Pod Save America,"Four former aides to President Obama Jon Favreau, Jon Lovett, Dan Pfeiffer and Tommy Vietor are joined by journalists, politicians, activists, and more for a no-b******t conversation about politics. They cut through the noise to break down the weeks news, and help people figure out what matters and how they can help. You can listen to new episodes twice a week, and starting on October 26, 2021, we will be shifting our schedule to Tuesdays and Thursdays. ","Politics, News, TV & Film",“Democracy or the Filibuster.” (with Alyssa Mastromonaco!),"Jason Concepcion joins to talk about the Atlanta shooting and anti-Asian racism. Then Jon and Alyssa discuss Joe Biden coming out as filibuster reform-curious, Republicans playing politics with children at the border, and dig into the mailbag to answer some questions.",yes,News
15,85,Pod Save America,"Four former aides to President Obama Jon Favreau, Jon Lovett, Dan Pfeiffer and Tommy Vietor are joined by journalists, politicians, activists, and more for a no-b******t conversation about politics. They cut through the noise to break down the weeks news, and help people figure out what matters and how they can help. You can listen to new episodes twice a week, and starting on October 26, 2021, we will be shifting our schedule to Tuesdays and Thursdays. ","Politics, News, TV & Film",The Era of Big Government is Back.,"Senate Democrats pass Joe Biden’s $1.9 trillion American Rescue Plan, the fight for the $15 minimum wage continues, and Joe Manchin opens the door to reforming the filibuster. Then Virginia State Delegate Danica Roem talks to Jon Lovett about the fights over trans rights happening in statehouses across the country.",yes,News
16,77.5,Pod Save America,"Four former aides to President Obama Jon Favreau, Jon Lovett, Dan Pfeiffer and Tommy Vietor are joined by journalists, politicians, activists, and more for a no-b******t conversation about politics. They cut through the noise to break down the weeks news, and help people figure out what matters and how they can help. You can listen to new episodes twice a week, and starting on October 26, 2021, we will be shifting our schedule to Tuesdays and Thursdays. ","Politics, News, TV & Film",Bienvenidos a Orlando (with Will Smith!),"Democrats debate a path for the minimum wage now that the Senate parliamentarian has ruled against using budget reconciliation. Donald Trump gives the first speech of his ex-presidency at CPAC, where Republicans spend more time talking about Mr. Potato Head than about the pandemic. And Will Smith joins Jon F. to talk about his new docuseries on the 14th Amendment, “Amend: The Fight for America.”",yes,News
17,79.5,Pod Save America,"Four former aides to President Obama Jon Favreau, Jon Lovett, Dan Pfeiffer and Tommy Vietor are joined by journalists, politicians, activists, and more for a no-b******t conversation about politics. They cut through the noise to break down the weeks news, and help people figure out what matters and how they can help. You can listen to new episodes twice a week, and starting on October 26, 2021, we will be shifting our schedule to Tuesdays and Thursdays. ","Politics, News, TV & Film","Impeachment, Lies, and Videotape.","House Democrats use video footage of the Capitol attack to make a powerful case against Donald Trump, Republican Senators look for excuses to acquit, and the Republican Party has been losing voters since January. Then Congresswoman Pramila Jayapal talks to Dan about Covid relief negotiations and the minimum wage.",yes,News
18,57,Pod Save America,"Four former aides to President Obama Jon Favreau, Jon Lovett, Dan Pfeiffer and Tommy Vietor are joined by journalists, politicians, activists, and more for a no-b******t conversation about politics. They cut through the noise to break down the weeks news, and help people figure out what matters and how they can help. You can listen to new episodes twice a week, and starting on October 26, 2021, we will be shifting our schedule to Tuesdays and Thursdays. ","Politics, News, TV & Film",Impeaching the Big Lie.,"The second impeachment of Donald Trump begins, President Biden reins in ICE as part of an immigration overhaul, and Fox News is hit with a $2.3 billion defamation lawsuit for spreading election conspiracies",yes,News
19,16.5,The Journal.,"The most important stories, explained through the lens of business. A podcast about money, business and power. Hosted by Kate Linebaugh and Ryan Knutson. The Journal is a co-production from Gimlet Media and The Wall Street Journal.","News, Business News, Business",Dogecoin Was a Joke. Now It's Worth $7 Billion,"Billy Markus created the cryptocurrency Dogecoin on a lark, based on a viral dog meme. Eight years later, his creation is worth billions of dollars. Markus and WSJ's Caitlin Ostroff explain how crypto's jokiest coin went to the moon",no,News
20,17.5,The Journal.,"The most important stories, explained through the lens of business. A podcast about money, business and power. Hosted by Kate Linebaugh and Ryan Knutson. The Journal is a co-production from Gimlet Media and The Wall Street Journal.","News, Business News, Business",Ban on Foreign Workers Left Jobs Open. Americans Didn't Take Them,"Last year, President Trump banned most new visas for foreign workers, arguing unemployed Americans would take those jobs instead. But as WSJ's Alicia Caldwell explains, even with high unemployment, many of those positions were left unfilled",no,News
21,15,The Journal.,"The most important stories, explained through the lens of business. A podcast about money, business and power. Hosted by Kate Linebaugh and Ryan Knutson. The Journal is a co-production from Gimlet Media and The Wall Street Journal.","News, Business News, Business",Free Trading Isn't Free: How Robinhood Makes Money,Robinhood is able to offer free trading on its app thanks to a practice known as payment for order flow. WSJ's Alexander Osipovich explains how it works and why Congress has questions about it.,no,News
22,16.5,The Journal.,"The most important stories, explained through the lens of business. A podcast about money, business and power. Hosted by Kate Linebaugh and Ryan Knutson. The Journal is a co-production from Gimlet Media and The Wall Street Journal.","News, Business News, Business",Why an Atlanta Rap Mogul Is Starting a Bank,Atlanta rapper Killer Mike recently launched a digital bank to serve communities of color. He explains why he started the bank and why Black banks are so important in closing the racial wealth gap.,no,News
23,16,The Journal.,"The most important stories, explained through the lens of business. A podcast about money, business and power. Hosted by Kate Linebaugh and Ryan Knutson. The Journal is a co-production from Gimlet Media and The Wall Street Journal.","News, Business News, Business",The Trump Organization's Debts Are Coming Due,The Trump Organization has over $400 million worth of debt coming due over the next several years. WSJ's Brian Spegele explains the debts and the myriad challenges that will come with refinancing if President Trump wins a second term,no,News
24,18.5,The Journal.,"The most important stories, explained through the lens of business. A podcast about money, business and power. Hosted by Kate Linebaugh and Ryan Knutson. The Journal is a co-production from Gimlet Media and The Wall Street Journal.","News, Business News, Business",What Amy Coney Barrett's Confirmation Hearing Could Look Like,"Next week, Judge Amy Coney Barrett will face senators during her Supreme Court confirmation hearing. WSJ's Siobhan Hughes looks back at Barrett's previous confirmation hearing in 2017 for clues about how she might handle next week's questioning.",no,News
25,61.5,The Dan Bongino Show,"Hes a former Secret Service Agent, former NYPD officer, and New York Times best-selling author. Join Dan Bongino each weekday as he tackles the hottest political issues, debunking both liberal and Republican establishment rhetoric.","News, Society & Culture",A Three Point Plan To Defeat The Liberal Spin Machine,"Tactics matter. In this episode, I discuss a three-point plan to take the fight to the liberal spin machine on the election law changes. I also address the video of the Biden White House desperately trying to backtrack from a controversy they started News Picks: Marco Rubio slams the hypocritical MLB commissioner asking him if he plans to keep his membership at a Georgia club. The hypocritical MLB picks Denver for the All-Star Game. 72% of Americans favor requiring photo ID to vote. Terror watch list suspects were caught at the Southern Border. Is China minting the digital currency of the future? Border towns cannot keep up with the influx of illegal immigrants into the country.",no,News
26,60,The Dan Bongino Show,"Hes a former Secret Service Agent, former NYPD officer, and New York Times best-selling author. Join Dan Bongino each weekday as he tackles the hottest political issues, debunking both liberal and Republican establishment rhetoric.","News, Society & Culture",MLB Strikes Out And Ron DeSantis Hits a Homerun,"Every American needs to hear this message from a prominent sports star about the race baiting going on in the country. In this episode, I discuss the explosive video and I shred liberal misinformation about the Georgia voting law. I also address the latest media attack on a prominent GOP Governor. News Picks: Watch: Pastor orders police to get out of his house of worship. Major League Baseball boycotts Georgia a day after expanding a deal with communist China. Trump saw a historic jump in his share of the Hispanic vote in 2020. The majority of families illegally entering the United States are not being deported. 60 Minutes tries to attack Ron DeSantis and fails in epic fashion. It’s important that we treat the media as the Democrat activists they are.",no,News
27,59.5,The Dan Bongino Show,"Hes a former Secret Service Agent, former NYPD officer, and New York Times best-selling author. Join Dan Bongino each weekday as he tackles the hottest political issues, debunking both liberal and Republican establishment rhetoric.","News, Society & Culture",The Most “Honest” Thing Ever Said On CNN,"Did this CNN guest slip, and accidentally speak the truth? In this episode, I discuss the explosive segment where a CNN guest addresses the real reason behind the shutdowns and the push for vaccine passports. News Picks: CNN analyst urged Biden to tie vaccinations to American freedoms. The hypocritical CEO of Apple calls out Georgia, but stays quiet about China. NPR promoted a flat out falsehood regarding the Hunter Biden scandal. Georgia lawmakers cancel a tax break for Delta after they spread misinformation about the new election integrity legislation. Why are Democrats promoting a tax hike for the “rich” while simultaneously promoting a tax cut for the rich? Now they’re cancelling Obama. Project Veritas captures disturbing video at the border. Hundreds of thousands flock to Rumble to watch the Trump interview banned by YouTube. Amnesty is already here.",no,News
28,58,The Dan Bongino Show,"Hes a former Secret Service Agent, former NYPD officer, and New York Times best-selling author. Join Dan Bongino each weekday as he tackles the hottest political issues, debunking both liberal and Republican establishment rhetoric.","News, Society & Culture",The Biggest “I Told You So” in American History,"In this episode, I discuss the most troubling video I’ve seen in a long time. It’s a frightening explanation of how to destroy the United States from the inside. News Picks: The Russian defector (Yuri Bezmenov) video every American must see. Is Biden already granting amnesty to tens of thousands of illegal immigrants? Biden’s vaccine passports sounds like a precursor to China’s social credit score. Details emerge about the alleged extortion plot against Matt Gaetz. Biden is proposing the largest tax hikes in decades. Getting rich off of getting “woke.”",no,News
29,60.5,The Dan Bongino Show,"Hes a former Secret Service Agent, former NYPD officer, and New York Times best-selling author. Join Dan Bongino each weekday as he tackles the hottest political issues, debunking both liberal and Republican establishment rhetoric.","News, Society & Culture",The Latest Images From The Exploding Crisis At The Border,"The illegal immigration crisis at the border continues to explode. New pictures emerge which show the devastation at the border. In this episode, I discuss the crisis, and the growing scandal about the origins of the coronavirus. News Picks: WHO investigator admits he took China’s word for it on the lab-leak theory. Governor Kristi Noem kills ban to ensure only women compete in women’s sports. Unsealed recordings capture the plot to ensnare Papa John’s CEO. The “Equality” Act is another salvo in the war on people of faith.",no,News
30,62.5,The Dan Bongino Show,"Hes a former Secret Service Agent, former NYPD officer, and New York Times best-selling author. Join Dan Bongino each weekday as he tackles the hottest political issues, debunking both liberal and Republican establishment rhetoric.","News, Society & Culture",Tucker Wrecks Juan Williams in Must-See Video,"Tucker Carlson absolutely destroyed Juan Williams in this must-see video. In this episode, I discuss the fireworks. I also address the outrageous push for “vaccine passports,” and the pushback by this conservative Governor. News Picks: Liberal media networks go all-in on gun confiscation messaging. Governor Ron DeSantis fights back against vaccine passports. Why are liberals going all-in on racism? Nancy Pelosi is still trying to steal an election. Red States are leading in economic growth, again! More on the corporate boycotts plaguing America. Coyotes tell Univision that business is booming thanks to the hapless Joe Biden.",no,News
31,150,The Jordan B. Peterson Podcast,"Join intellectual phenomenon Dr. Jordan Peterson and his daughter Mikhaila for enlightening discourse that will change the way you think. This podcast breaks down the dichotomy of life through interviews and lectures that explain how individuals and culture are shaped by values, music, religion, and beyond. It will give you a new perspective and a modern understanding of your creativity, competence, and personality.","Science, Social Sciences, Education, Higher Education, Society & Culture, Philosophy",Jocko Willink,"I had the pleasure of inviting Jocko Willink on to my podcast for the first time, I’ve been on Jocko’s podcast several times in the past and now get the opportunity to reverse the interviewing role to learn more about his life and endeavors. We discuss his experience in the military and war exploring time in the Navy Seals, Afganistan, and Iraq. Jocko recount what it looks like to be on the ground in combat scenarios and the requirement of strong leadership in the Seal teams. I ask him about his formative years growing up with a warrior personality. We cover other engaging points of interest in his kid books, time as an English major, restarting a clothing line in a dying factory town, and much more. Jocko Willink is an American author, podcaster, and retired naval officer who served in the Navy SEALs. His books include New Tork Times bestseller Extreme Ownership,  Discipline Equals Freedom a field manual, and his children’s book The Way of the Warrior Kid. Jocko also has one of the most successful podcasts out there so check out the Jocko Podcast. Find more of Jocko Willink on his podcast website, check out his clothing line originmaine.com, and in his books",no,Education
32,92,The Jordan B. Peterson Podcast,"Join intellectual phenomenon Dr. Jordan Peterson and his daughter Mikhaila for enlightening discourse that will change the way you think. This podcast breaks down the dichotomy of life through interviews and lectures that explain how individuals and culture are shaped by values, music, religion, and beyond. It will give you a new perspective and a modern understanding of your creativity, competence, and personality.","Science, Social Sciences, Education, Higher Education, Society & Culture, Philosophy",Russell Brand and Mikhaila Peterson,"In this episode, we spoke with Russell Brand, an English comedian, actor, radio host, writer, and activist. The three of us explore family life, having kids, the role of sacrifice, mentor/apprentice relationships, seeing the divine in others, working with family, the aspiration of fame, and more. Find more Russell Brand on his Podcast Under the Skin and in his new book, Revelation: Connecting with the Sacred in Everyday Life.",no,Education
33,93.5,The Jordan B. Peterson Podcast,"Join intellectual phenomenon Dr. Jordan Peterson and his daughter Mikhaila for enlightening discourse that will change the way you think. This podcast breaks down the dichotomy of life through interviews and lectures that explain how individuals and culture are shaped by values, music, religion, and beyond. It will give you a new perspective and a modern understanding of your creativity, competence, and personality.","Science, Social Sciences, Education, Higher Education, Society & Culture, Philosophy",Abigail Shrier,"Abigail Shrier and I discuss identity, gender dysphoria, the increased rate of gender transitioning procedures among young female adolescents, details of these procedures, de-transitioning, her personal experiences with writing her book “Irreversible Damage”, and more. Abigail Shrier is a frequent contributor to the Wall Street Journal and author of Irreversible Damage: The Transgender Craze Seducing Our Daughters. Abigail used her experience as a journalist to interview a wide variety of experts on the explosion in the number of young women self-diagnosing and taking steps to physically transition to male using hormones and surgery.",no,Education
34,104.5,The Jordan B. Peterson Podcast,"Join intellectual phenomenon Dr. Jordan Peterson and his daughter Mikhaila for enlightening discourse that will change the way you think. This podcast breaks down the dichotomy of life through interviews and lectures that explain how individuals and culture are shaped by values, music, religion, and beyond. It will give you a new perspective and a modern understanding of your creativity, competence, and personality.","Science, Social Sciences, Education, Higher Education, Society & Culture, Philosophy",Bret Weinstein,"Bret Weinstein and I discuss the events that led to his resignation from Evergreen State College, dealing with controversy, pair bonding, the new political landscape, paranoia created by having communities online, discordant opinion budgets, and more. Bret Weinstein is a theoretical evolutionary biologist, host of DarkHorse Podcast, and a former Professor at Evergreen State College.",no,Education
35,95,The Jordan B. Peterson Podcast,"Join intellectual phenomenon Dr. Jordan Peterson and his daughter Mikhaila for enlightening discourse that will change the way you think. This podcast breaks down the dichotomy of life through interviews and lectures that explain how individuals and culture are shaped by values, music, religion, and beyond. It will give you a new perspective and a modern understanding of your creativity, competence, and personality.","Science, Social Sciences, Education, Higher Education, Society & Culture, Philosophy",Juliette Fogra,"Juliette Fogra and I discuss, among other topics, the stunning art she created for my new book Beyond Order, her life story, artistic composition, her muse when creating, photoshop, fine art, music, living in chronic pain, and more.",no,Education
36,107.5,The Jordan B. Peterson Podcast,"Join intellectual phenomenon Dr. Jordan Peterson and his daughter Mikhaila for enlightening discourse that will change the way you think. This podcast breaks down the dichotomy of life through interviews and lectures that explain how individuals and culture are shaped by values, music, religion, and beyond. It will give you a new perspective and a modern understanding of your creativity, competence, and personality.","Science, Social Sciences, Education, Higher Education, Society & Culture, Philosophy",Jonathan Pageau,"Jonathan Pageau and I discuss, among other topics, the issue of conscience, narrative with objective reality, perfect mode of being, the responsibility to move things towards the divine, the inevitability of religion, significance of the virgin birth, Theosis, the idea of heaven, and more.",no,Education
37,47,Stuff You Should Know,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered.","Kids & Family, Technology, Education, Science, Education for Kids, Society & Culture, History",Havana Syndrome: ¿Qué Diablos?,"In 2016, diplomats at the American embassy in Cuba began suffering weird neurological symptoms after hearing strange noises. Some say it was a sonic attack using a secret weapon, but the Havana Syndrome remains a baffling scientific mystery to this day.",no,Education
38,49.5,Stuff You Should Know,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered.","Kids & Family, Technology, Education, Science, Education for Kids, Society & Culture, History",Selects: How Circus Families Work,"Don't be confused - this one is about actual circus acts made of family members, not the controversial comic strip. Step right up to this classic episode.",no,Education
39,54,Stuff You Should Know,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered.","Kids & Family, Technology, Education, Science, Education for Kids, Society & Culture, History",How the Titanic Worked: Part Two,"After the Titanic sank recriminations and blame followed, sometimes ruining careers unjustifiably. As the decades wore on and she was found almost 2.5 miles down, history rehabilitated some people. The question still remains how to preserve the ship.",no,Education
40,12.5,Stuff You Should Know,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered.","Kids & Family, Technology, Education, Science, Education for Kids, Society & Culture, History",Short Stuff: What's the oldest book?,"In order to figure out what the oldest book is, one has to define what a book actually is. Listen in as we discuss this debatable topic.",no,Education
41,52,Stuff You Should Know,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered.","Kids & Family, Technology, Education, Science, Education for Kids, Society & Culture, History",How the Titanic Worked: Part One,"When the Titanic set sail on her maiden voyage in April 1912, the world was divided into two types of people: those who considered her unsinkable and those who weren’t so sure about that. Both types were aboard when she went down with 1500 souls.",no,Education
42,52.5,Stuff You Should Know,"If you've ever wanted to know about champagne, satanism, the Stonewall Uprising, chaos theory, LSD, El Nino, true crime and Rosa Parks, then look no further. Josh and Chuck have you covered.","Kids & Family, Technology, Education, Science, Education for Kids, Society & Culture, History",Selects: What was the Philadelphia Experiment?,"The Philadelphia Experiment is a bad movie from the 1980s, and also the conpiracy theory that refuses to die, despite virtually zero evidence of its occurance. Learn all about this strange non-event in this classic episode.",no,Education
43,37,A Bit of Optimism,"During these times, we are all having to find new ways to connect.  Join me every week as I talk with people that inspire me, about love, life, leadership, and silver linings. The hope is that we all leave with something I think we need these days€¦ A Bit of Optimism.","Marketing, Education, Entrepreneurship, Business, Self-Improvement",Faith with Quilen Blackwell,"Occasionally I get to meet someone whose story absolutely inspires me. Quilen Blackwell is that person. He was on the path set for him - good grades, good college, good job - but he decided to follow his own path and his journey was filled with far more difficulty than he imagined. Only through faith, conviction and the generosity of strangers was he able to rise up and become the successful social entrepreneur he is today - serving the community that took care of him. This is… A Bit of Optimism",no,Education
44,35,A Bit of Optimism,"During these times, we are all having to find new ways to connect.  Join me every week as I talk with people that inspire me, about love, life, leadership, and silver linings. The hope is that we all leave with something I think we need these days€¦ A Bit of Optimism.","Marketing, Education, Entrepreneurship, Business, Self-Improvement",A Tension Deficit with James Harding,"Where do we find the truth? As the business of news has become, well, a business…it seems to have become more and more difficult to actually find the truth. Even search engines are no help. So I called James Harding, former Director of BBC News and the founder and editor-in-chief of Tortoise, a new news service, to uncover the truth about the truth. This is …A Bit of Optimism.",no,Education
45,30.5,A Bit of Optimism,"During these times, we are all having to find new ways to connect.  Join me every week as I talk with people that inspire me, about love, life, leadership, and silver linings. The hope is that we all leave with something I think we need these days€¦ A Bit of Optimism.","Marketing, Education, Entrepreneurship, Business, Self-Improvement",The Infinite Game with Dr. James Carse,"Many people have theories, but what philosopher, Dr. James Carse, figured out is more profound. He articulated a basic truth about how the world actually works. His work has had a profound impact on me and my work. So much so, I wrote a book to pick up where he left off. Sadly, Dr. Carse died in September 2020. Fortunately I had a chance to sit down with him a few months before, to chat with him about belief, fulfillment and the Infinite Game. This is… A Bit of Optimism.",no,Education
46,22,A Bit of Optimism,"During these times, we are all having to find new ways to connect.  Join me every week as I talk with people that inspire me, about love, life, leadership, and silver linings. The hope is that we all leave with something I think we need these days€¦ A Bit of Optimism.","Marketing, Education, Entrepreneurship, Business, Self-Improvement",Happying with Derren Brown,"What happens when someone who is obsessed with human behavior, instead of becoming a psychologist, chooses a career in entertainment? Mentalist and illusionist, Derren Brown, has mastered the ability to tap into our motivations and biases to uncover some remarkable things. These days, he’s interested in how we can all be just a little bit happier. This is… A Bit of Optimism",no,Education
47,28,A Bit of Optimism,"During these times, we are all having to find new ways to connect.  Join me every week as I talk with people that inspire me, about love, life, leadership, and silver linings. The hope is that we all leave with something I think we need these days€¦ A Bit of Optimism.","Marketing, Education, Entrepreneurship, Business, Self-Improvement",Conversion with Ric Elias,"On January 15th 2009, Captain “Sully” Sullenberger, against all odds, landed his US Airways Airbus safely on the Hudson River. How would you have reacted to the sound of the engines shutting down in mid-flight and the captain announcing “brace for impact”? CEO and venture capitalist, Ric Elias, was on that flight. He shared how that near-death experience transformed his views on his business and his life. This is… A Bit of Optimism.",no,Education
48,24.5,A Bit of Optimism,"During these times, we are all having to find new ways to connect.  Join me every week as I talk with people that inspire me, about love, life, leadership, and silver linings. The hope is that we all leave with something I think we need these days€¦ A Bit of Optimism.","Marketing, Education, Entrepreneurship, Business, Self-Improvement",Generosity with Ann Marie Scichili,"In life we learn different things from different people. From my friend, retail executive Ann Marie Scichili, I learned about generosity. So, in the spirit of generosity I wanted to share her with you. This is… A Bit of Optimism.",no,Education
